Variable,Description,Missing Values,Percentage (%),Missingness Label
policy_code,"publicly available policy_code=1
new products not publicly available policy_code=2",33,0.0014597242182845054,Low (<10%)
out_prncp,Remaining outstanding principal for total amount funded,33,0.0014597242182845054,Low (<10%)
out_prncp_inv,Remaining outstanding principal for portion of total amount funded by investors,33,0.0014597242182845054,Low (<10%)
funded_amnt_inv,The total amount committed by investors for that loan at that point in time.,33,0.0014597242182845054,Low (<10%)
grade,LC assigned loan grade,33,0.0014597242182845054,Low (<10%)
initial_list_status,"The initial listing status of the loan. Possible values are  W, F",33,0.0014597242182845054,Low (<10%)
last_fico_range_low,The lower boundary range the borrowers last FICO pulled belongs to.,33,0.0014597242182845054,Low (<10%)
installment,The monthly payment owed by the borrower if the loan originates.,33,0.0014597242182845054,Low (<10%)
funded_amnt,The total amount committed to that loan at that point in time.,33,0.0014597242182845054,Low (<10%)
home_ownership,"The home ownership status provided by the borrower during registration or obtained from the credit report. Our values are: RENT, OWN, MORTGAGE, OTHER",33,0.0014597242182845054,Low (<10%)
last_fico_range_high,The upper boundary range the borrowers last FICO pulled belongs to.,33,0.0014597242182845054,Low (<10%)
loan_status,Current status of the loan,33,0.0014597242182845054,Low (<10%)
loan_amnt,"The listed amount of the loan applied for by the borrower. If at some point in time, the credit department reduces the loan amount, then it will be reflected in this value.",33,0.0014597242182845054,Low (<10%)
last_pymnt_amnt,Last total payment amount received,33,0.0014597242182845054,Low (<10%)
int_rate,Interest Rate on the loan,33,0.0014597242182845054,Low (<10%)
pymnt_plan,Indicates if a payment plan has been put in place for the loan,33,0.0014597242182845054,Low (<10%)
url,URL for the LC page with listing data.,33,0.0014597242182845054,Low (<10%)
total_rec_late_fee,Late fees received to date,33,0.0014597242182845054,Low (<10%)
total_pymnt,Payments received to date for total amount funded,33,0.0014597242182845054,Low (<10%)
total_pymnt_inv,Payments received to date for portion of total amount funded by investors,33,0.0014597242182845054,Low (<10%)
total_rec_int,Interest received to date,33,0.0014597242182845054,Low (<10%)
total_rec_prncp,Principal received to date,33,0.0014597242182845054,Low (<10%)
